epoch,avg_train_loss
0,2.2341433656245413
1,2.0511418886687216
2,2.029195104946426
3,2.011196425950389
4,1.9981664189784236
5,1.9884452287905474
6,1.979631082122413
7,1.9754312756861883
8,1.9681812344048144
9,1.9649756210553353
